Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Conversão de Energia I;;TE146;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Fundamentos de eletromecânica</li><li>Enrolamentos de máquinas</li><li>Gerador de Corrente Contínua</li><li>Motor de Corrente Contínua</li><li>Reação da armadura e co mutação em máquinas de CC</li><li>Máquinas Especiais</li></ol>;;FITZGERALD, A. E., KINGSLEY Jr. C. E UMANS, S. D. MáquinasElétricas: com Introdução à Eletrônica De Potência. 6ª Edição, Bookman,2006.,,TORO, V. Del, MARTINS, O. A. Fundamentos de Máquinas Elétricas.LTC, 1999.,,KOSOW, I. Máquinas Elétricas e Transformadores. Editora Globo. 1986.,,;;Bim, Edson. Máquinas Elétricas e Acionamento. Editora Elsevier, 2009.,,Oliveira, José Carlos de. Transformadores: teoria e ensaios. EditoraEdgard Blucher, 1984.,,
Conversão de Energia II;;TE147;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Transformadores e autotransformadores monofásicos; Motores de indução trifásico e monofásico; Gerador de Indução; Servomotor; Noções de Máquinas Síncronas;;;FITZGERALD, A. E., KINGSLEY Jr. C. E UMANS, S. D. MáquinasElétricas: com Introdução à Eletrônica De Potência. 6ª Edição, Bookman,2006.,,TORO, V. Del, MARTINS, O. A. Fundamentos de Máquinas Elétricas.LTC, 1999.,,KOSOW, I. Máquinas Elétricas e Transformadores. Editora Globo. 1986.,,;;Bim, Edson. Máquinas Elétricas e Acionamento. Editora Elsevier, 2009.,,Oliveira, José Carlos de. Transformadores: teoria e ensaios. EditoraEdgard Blucher, 1984.,,
Introdução aos Sistemas de Telecomunicações;;TE148;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;<ol><li>Conceitos básicos sobre Telecomunicações;</li><li>Sistemas de Telecomunicações;</li><li>O Processo dos Equipamentos Terminais;</li><li>O Processo de Transmissão;</li><li>O Processo de Roteamento ? Comutação;</li><li>O Processo das Plataformas Inteligentes;</li><li>Histórico sobre a evolução dos Sistemas e Serviços de Telecomunicações;</li><li>Aspectos Regulamentares e Modelo Organizacional e Político do Setor;</li><li>O papel das Telecomunicações na Sociedade da Informação e do Conhecimento</li></ol>;;<nada>;;<nada>
Instrumentação Eletrônica;;TE149;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Noções gerais de processos industriais e instrumentação.Transdutores. Condicionamento de sinais para sistemas digitais.Sistemas de aquisição de dados baseados em microcomputadores.;;<nada>;;<nada>
Estágio Supervisionado Parcial I  opcional;;TE150;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;300 h;;00;;00;;00;;300;;00;;20 h;;Trabalhos supervisionados na área de eletrotécnica, eletrônica outelecomunicações em Empresas, Indústrias ou Instituições de Ensino;;<nada>;;<nada>
Estágio Supervisionado Parcial II opcional;;TE151;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;300 h;;00;;00;;00;;300;;00;;20 h;;Trabalhos supervisionados na área de eletrotécnica, eletrônica outelecomunicações em Empresas, Indústrias ou Instituições de Ensino;;<nada>;;<nada>
Projeto de Circuitos Integrados Analógicos;;TE152;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Modelagem de Transistor MOS;Simulação de Circuitos;Circuitos Analógicos MOS;Amplificadores;;;<nada>;;<nada>
Sistemas Digitais;;TE153;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Unidade Central de Processamento: ULA e registradores;</li><li>Barramentos interno e externo;</li><li>Memórias: tipos, leitura e escrita, conceitos de Pilha e Fila, interfaces;</li><li>Dispositivos de Entrada e de Saída: interfaces e E/S mapeado em memória;</li><li>Programação de baixo nível: tipos de dados, modos de endereçamento econjuntos de instruções;</li><li>Análise e Síntese de Sistemas Digitais: hardware e software, circuitos eprogramas.</li></ol>;;<nada>;;<nada>
Estabilidade em Sistemas Elétricos de Potência;;TE154;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;40;;20;;00;;00;;00;;04 h;;<ol><li>Introdução.</li><li>Análise do Título da Disciplina.</li><li>A Visão Geral do Assunto e as Razões Técnicas para as Divisões.</li><li>Modelos de Geradores Síncronos.</li><li>Estabilidade Após Pequenas Perturbações.</li><li>Estabilidade Após Grandes Perturbações.</li><li>Os Recursos Técnicos Para Estabilizar Sistemas Elétricos de Potência.</li></ol>;;Prabha Kundur, Power System StabilityControl,,Olle I. Elgerd , Introdução a Teoria de Sistemas de Energia Elétrica,,William Stevenson Jr, Elements of Power System Analysis,,;;IEEE,,CIGRE,,
Redes de Acesso Sem Fio;;TE155;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Histórico, Introdução e Aspectos sócio -econômicos</li><li>Fundamentos de transmissão sem fios e espectro de freqüências</li><li>Rádio e micr oondas, ondas milimétricas e de infra -vermelho</li><li>Antenas: aspectos teóricos e práticos</li><li>Redes sem fio</li><li>Comunicações via satélites</li><li>Protocolos de redes de transmissão de dados sem fio</li><li>Conceitos de LAN, MAN e WAN</li><li>Internet e mobilidade</li><li>Legislação brasileira e aspectos regulatórios</li><li>Inclsão digital através de redes de acesso sem fios</li><li>Perspectivas de Evolução de sistemas de acesso sem fios</li></ol>;;<nada>;;<nada>
Dispositivos Opto-Eletrônicos;;TE156;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Led, Laser, Fotodetectores, Dispositivos Orgânicos, Célula Solar;;<nada>;;<nada>
Planejamento de Sistemas Elétricos de Potência;;TE157;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;40 h;;40;;00;;00;;00;;00;;03 h;;Panorama do Setor Eletro-Energético Brasileiro, Fontes Primárias e Tecnologias para Geraçãode Energia Elétrica, Planejamento da Expansão da Geração de Energia Elétrica, Estudo eProjeção da Demanda de Energia Elétrica, Integração da Geração aos Sistemas Elétricos dePotência, Planejamento da Expansão de Sistemas de Transmissão e Distribuição de EnergiaElétrica, Avaliação Econômica de Investimentos de Sistemas de Energia.;;Fortunato, L.M. et al. Obra: Introdução ao Planejamento da Expansão e Operação de Sistemasde Produção de Energia Elétrica Local: RJ,RJ Editor: Eduff/Eletrobrás Ano: 1990.,,Dos Reis, Lineu.Bélico. Obra: Geração de Energia Elétrica, Editora Erica, 2011.,,Brasil. Ministério de Minas e Energia. Plano Nacional de Energia 2030. Empresa de PesquisaEnergética . Brasília: MME : EPE, 2010.,,;;Panos M. Pardalos, Steffen Rebennack, Mario V. F. Pereira, Niko A. Iliadis. Obra: Handbookof Power Systems Energy Systems Vol. I e II. Springer; 1st Edition, 2010.,,Brasil. Ministério de Minas e Energia. Plano Decenal de Expansão de Energia 2020. Empresa dePesquisa Energética . Brasília: MME : EPE, 2011.,,
Operação de Sistemas Elétricos de Potência;;TE158;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução à operação de sistemas elétricos, Métodos de cálculo de fluxo de potência, Despacho econômico, Introdução ao Fluxo de potência ótimo, Operação em tempo real e estimação de estados.;;Stevenson Jr., W.D., ?Elementos de Análise de Sistemas de Potência?, McGraw-Hilldo Brasil, 2a Edição, 1986.,,Elgerd, O.L., ?Electric Energy Systems Theory?, McGraw-Hill Book Company,1986.,,Monticelli, A. J., ?Fluxo de Carga em Redes de Energia Elétrica?.. Edgar Blucher, Cepel, 1983.,,;;Wood, A.J. e Wollenberg, B.F., ?Power Generation, Operation,Control?, John,,WileySons, INC., 2a Edição, 1996.Glover, J.D. e Sarma, M., ?Power System AnalysisDesign?, PWS PublishingCompany, Boston, 2a. Edição, 1994.,,
Eletrotécnica para Engenharia de Produção;;TE160;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;1 - Carga e Matéria, Carga Elétrica, Condutores e Isolantes, Conservação da carga. 2 - Unidades deMedida, Tensão, Corrente, Potência, Medidores de Potência. 3 - Corrente Alternada e CorrenteContinua. 4 - Circuitos Monofásicos, Bifásicos e Trifásicos. 5 - Projeto de Instalações Elétricas, 6 -Proteção Elétrica SPDA. 7 - Luminotécnica. 8 - Transformadores. 9 - Noções e Instalação deMotores Elétricos. 10 - Racionalização e Conservação de energia.;;Instalações Elétricas - Hélio CrederInstalações Elétricas e Prediais - Geraldo Cavalin e Severino Cervelin.Instalações Elétricas - Niskier Macintyre.;;Instalações Elétricas - Ademaro A. M. B. Contrin.Instalações Elétricas Industriais - João Mamede.
Engenharia e Sociedade I;;TE200;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Conceito de Engenharia. História da Engenharia e da Engenharia Elétrica. Regulamentaçãoprofissional. Atribuições do Engenheiro. Áreas de atuação do Engenheiro. Evolução daEngenharia. O Engenheiro e a sociedade. O processo de formação do Engenheiro Eletricista.Modelo e simulação. Otimização. Metodologia de projeto. Pesquisa e Método Científico. Visãosistêmica de um projeto eletrônico e de uma rede de comunicações. O computador naEngenharia. CAD/CAM na Engenharia. A Engenharia e o desenvolvimento industrial. AEletrônica e a Sociedade. As Telecomunicações e a Sociedade. Visitas Técnicas a indústrias eempresas do ramo eletroeletrônico. Proposta e execução de um trabalho prático em equipe.;;Introdução à Engenharia ? Walter Antonio Bazzo e Luiz Teixeira do Vale Pereira,,Novos paradigmas na Educação em Engenharia ? Marcos Tozzi,,Introdução ao Projeto de Engenharia ? Morris Asimow,,Ciência, Tecnologia e Sociedade - Walter Antonio Bazzo,,A formação do Engenheiro um Questionamento Humanístico ? Hermes Ferraz,,;;Modelagem e Simulação de Eventos Discretos ? Leonardo Chwif e Afonso C. Medina,,Aplicação de Computadores na Solução de Problemas de Engenharia ? Lírio Schaeffer e PauloRegner,,
Laboratório Matemático para Engenharia Elétrica I;;TE201;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Apresentação de software de processamento matemático simbólico. Operações básicas.Expressões e funções. Gráficos e representação de funções periódicas. Diferenciação eintegração.;;<nada>;;<nada>
Laboratório Matemático para Engenharia Elétrica II;;TE202;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Operações avançadas em software de processamento matemático simbólico. Funçõesgeratrizes de planos e volumes. Cálculos com matrizes. Translação e rotação. Operações comvariáveis complexas. Representações no plano complexo.;;<nada>;;<nada>
Fundamentos Matemáticos para a Engenharia Elétrica I;;TE203;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Função real de uma variável real. Limite e continuidade. Derivadas. Aplicações das derivadasna Engenharia Elétrica. Integral definida e indefinida. Formas indeterminadas e integraisimpróprias. Técnicas de integração. Aplicação das integrais na Engenharia Elétrica. Fórmulade Taylor. Fórmula de MacLaurin.;;<nada>;;<nada>
Fundamentos Matemáticos para a Engenharia Elétrica II;;TE204;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Funções de várias variáveis. Cálculo diferencial de funções de várias variáveis. Equaçõesdiferenciais. Derivadas parciais. Integrais múltiplas. Introdução ao Cálculo Vetorial. Integraisde Linha. Integrais de Superfície. Teorema de Green. Teorema de Gauss. Teorema de Stokes.Aplicações em Engenharia Elétrica.;;<nada>;;<nada>
Fundamentos de Sistemas Eletromecânicos;;TE205;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;40;;20;;00;;00;;00;;04 h;;As 3 Leis de Newton. Equilíbrio de um corpo rígido. Cinemática. Movimento de rotação.Dinâmica da partícula. Conceito de referencial inercial. Conservação do momento angular.Atrito. Lei de Conservação da Energia. Forças conservativas e energia potencial. Movimentosob ação de forças conservativas. Sistemas de partículas. Colisões. Gravitação. Centro demassa. Aplicações a sistemas eletromecânicos.;;Halliday, D.; Resnick, R. e Walker, J.; Fundamentos de Física, Vols 1 e 2, 7a. ed. Rio deJaneiro, LTC, 2010.,,Tipler, P.; Física, Vol 1 e 2. 4a. ed. Rio de Janeiro: LTC, 2009.,,Keller, F. J., Gettys, W. E. e Skove, M. J.; Física, Vol 1. São Paulo: Makron Books, 2009.,,;;Nussenzveig, H. M.; Curso de Física Básica, Vol 1 e 2. São Paulo: Edgard Blücher, 2010.Serway R., Raymond A.; Física para Cientistas e Engenheiros, Vol 1 e 2. Rio de Janeiro: LTC,2009.,,Alonso, Marcelo  Finn, Edward J. Física: Um curso universitário. Vol. 1 ? Mecânica. SãoPaulo: Edgard Blücher, 2010.,,
Análise Vetorial na Engenharia Elétrica;;TE206;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Álgebra vetorial. Vetores no plano e no espaço. Auto-valores e auto-vetores. GeometriaAnalítica plana. Geometria Analítica no espaço. Retas e planos no espaço com coordenadascartesianas. Translação e rotação de eixos. Curvas no plano. Superfícies. Outros sistemas decoordenadas. Matrizes. Determinantes. Sistemas Lineares.;;STEINBRUCH, Alfredo e WINTERLE, Paulo. Geometria analítica. 2ed. São Paulo: Mc Graw-Hill, 1987.,,VENTURI, Jacir J. Álgebra vetorial e geometria analítica. 5ed. Curitiba: Editora da UFPR,1991.,,STEINBRUCH, Alfredo e WINTERLE, Paulo, Álgebra Linear, Ed. Mc-Graw-Hill.,,;;CAROLI, A. et al. Matrizes, Vetores e Geometria Analítica. 7. ed. São Paulo: Livraria Nobel,1976.,,WINTERLE, Paulo. Vetores e Geometria Analítica. São Paulo: Makron Books, 2000.,,
Técnicas de Programação em Engenharia Elétrica I;;TE207;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Princípios gerais da Informática: o computador, hardware e software. Princípios de técnicas deprogramação: conceito de algoritmos, fluxogramas, pseudo-linguagem de programaçãoPortugol ? variáveis, expressões, controle de fluxo, vetores e matrizes, estruturação modular.Linguagem de programação C: conceitos fundamentais.;;ASCENCIO, A. F. G.; CAMPOS, E. A. V. de. Fundamentos da programação de computadores:Algoritmos, Pascal e C/C++. São Paulo: Prentice Hall, 2002.,,EVARISTO, Jaime. Aprendendo a Programar: Programando em Linguagem C. Rio de Janeiro:Book Express, 2001.,,Deitel. Como programar em C. 6 ed. Rio de Janeiro: LTC, 2010.,,;;MORAES, Celso Roberto. Estruturas de Dados e Algoritmos. São Paulo: Berkeley, 2001,,JAMSA, Kris; KLANDER, Lars. Programando em C/C++. São Paulo: Makron Books, 1999.,,
Técnicas de Programação em Engenharia Elétrica II;;TE208;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Variáveis escalares e estruturadas homogêneas e heterogêneas. Subprogramação: funções,procedimentos, passagem de parâmetros, recursividade. Ponteiros. Técnicas para aumento dedesempenho de algorítmos. Memória ?cache?, entrelaçada e virtual. Segmentação do ciclo deinstrução, das unidades funcionais e do acesso a memória. Computadores com conjuntoreduzido de instruções.;;<nada>;;<nada>
Circuitos Lógicos;;TE209;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Sistemas de numeração e códigos. Álgebra Booleana. Portas lógicas. Representação eminimização de funções lógicas. Sistemas digitais combinacionais e seqüenciais. Flip-flops.Registradores e Contadores. Circuitos aritméticos. Dispositivos de Memórias. Famílias lógicase Circuitos Integrados. Montagem de um detector simples de níveis lógicos. Montagem decircuitos lógicos básicos. Montagem de circuitos combinacionais. Montagem de circuitoslógicos com memória. Montagem de contadores digitais. Montagem de circuitos seqüenciais.Considerações sobre a velocidade de operação dos circuitos digitais.;;Sistemas Digitais ? Princípios e Aplicações. Ronald J. Tocci, Neal S. Widmer e Gregory L.Moss,,Eletrônica Digital? James W. Bignell e Robert Donovan,,Digital ElectronicsDesign with VHDL ? Volnei A. Pedroni, 2008,,;;Introdução aos Sistemas Digitais - Milos Ercegovac, Tomas Lang e Jaime Moreno.,,Analysisdesign of digital integrated circuits: in deep submicron technology ? HODGES,D. A.; JACKSON, H. G, 2004.,,
Fundamentos para Análise de Circuitos Elétricos;;TE210;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Steinmetz e a introdução dos números complexos na análise de circuitos em correntealternada. Números complexos. Noções de topologia no plano complexo. Funções complexas:limite, continuidade, derivação, funções harmônicas. Zeros de função analítica. Aplicações naárea de Engenharia Elétrica.;;<nada>;;<nada>
Análise de Circuitos Elétricos I;;TE211;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Elementos e Leis de Circuitos. Análise de Circuitos no domínio do Tempo. Força eletromotriz e circuitoselétricos. Fontes dependentes ou controladas. Teoremas de rede. Elementos armazenadores de energia.Circuitos simplificados RC e RL. Equacionamento e Soluções de Circuitos por métodos Algébricos eMatriciais. Equacionamento de Circuitos Dinâmicos. Circuitos Monofásicos.;;BOYLESTAD, Roberto L.; Introdução à Análise de Circuitos. 10ª. Ed. Editora Pearson / Prentice Hall,2008.,,ALEXANDER, Charles K.; SADIKU, Matthew N. O.; Fundamentos de Circuitos Elétricos. Bookman,2003.,,IRWIN, J. David. Análise de Circuitos em Engenharia. Makron Books do Brasil Editora LTDA; 4ª Ed.,2000.,,;;EDMINISTER, J.A.; Circuitos Elétricos. Editora McGraw-Hill LTDA ; 1991; 2ª Ed. Coleção Schaum.,,OMALLEY, J.; Análise de Circuitos Elétricos. Makron Books do Brasil Editora LTDA, 1993; 2ª Ed.,,
Análise de Circuitos Elétricos II;;TE212;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Excitação senoidal e fasores. Análise em regime permanente C.A, potência em regimepermanente C.A. Circuitos trifásicos. Freqüência complexa e funções de rede. Resposta emfreqüência. Análise de Circuitos no domínio da freqüência.;;<nada>;;<nada>
Introdução à Expressão Gráfica na Engenharia Elétrica;;TE213;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Introdução à linguagem do desenho. Instrumentos de desenho. Construções geométricasfundamentais. Técnicas de Cotagem. Escalas. Vistas ortográficas. Cortes e seções.Perspectivas.;;<nada>;;<nada>
Fundamentos da Eletrônica;;TE214;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Conceitos básicos de projeto eletrônico. Amplificadores operacionais. Introdução à Física dosSemicondutores. Materiais Semicondutores. Diodos. Transistores. Circuitos com diodos.Circuitos com transistores. Fontes de alimentação. Reguladores de tensão. Introdução àSimulação de Circuitos em Computador.;;Microeletrônica, Kenneth C. Smith  Adel S. Sedra. Editora Prentice-Hall. ISBN 8576050226.Ano 2007. Edição: 5ª. 864 páginas.Dispositivos Eletrônicos e Teoria de Circuitos, Robert L. Boylestad  Louis Nashelsky.Editora Prentice-Hall. ISBN 8587918222, Ano 2004, Edição 8ª, 696 páginas.Eletrônica, Dispositivos e Circuitos, A.P.Millmann.;;Eletrônica, A.P.Malvino,,Circuitos Eletrônicos Discretos e Integrado, Schilling e Belove,,
Laboratório de Eletrônica I;;TE215;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Instrumentos e medidas elétricas. Experiências e demonstrações em laboratório de eletrônica,referentes aos conteúdos programáticos das disciplinas ?Fundamentos da Eletrônica? e?Análise de Circuitos Elétricos I?. Simulação de Circuitos em Computador.;;Microeletrônica, Kenneth C. Smith  Adel S. Sedra. Editora Prentice-Hall. ISBN 8576050226.Ano 2007. Edição: 5ª. 864 páginas.,,Dispositivos Eletrônicos e Teoria de Circuitos, Robert L. Boylestad  Louis Nashelsky.Editora Prentice-Hall. ISBN 8587918222, Ano 2004, Edição 8ª, 696 páginas.,,Eletrônica, Dispositivos e Circuitos, A.P.Millmann.,,;;Eletrônica, A.P.Malvino,,Circuitos Eletrônicos Discretos e Integrado, Schilling e Belove,,
Laboratório de Eletrônica II;;TE216;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Instrumentos e medidas elétricas. Experiências e demonstrações em laboratório de eletrônica,referentes aos conteúdos programáticos das disciplinas ?Análise de Circuitos Elétricos II?,?Dinâmica de Fenômenos Ondulatórios? e ?Princípios de Controle e Servomecanismo?.;;Microeletrônica, Kenneth C. Smith  Adel S. Sedra. Editora Prentice-Hall. ISBN 8576050226.Ano 2007. Edição: 5ª. 864 páginas.,,Dispositivos Eletrônicos e Teoria de Circuitos, Robert L. Boylestad  Louis Nashelsky.Editora Prentice-Hall. ISBN 8587918222, Ano 2004, Edição 8ª, 696 páginas.,,Eletrônica, Dispositivos e Circuitos, A.P.Millmann.,,;;Eletrônica, A.P.Malvino,,Circuitos Eletrônicos Discretos e Integrado, Schilling e Belove,,
Laboratório de Eletrônica III;;TE217;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Experiências e demonstrações em laboratório de eletrônica, referentes ao conteúdo programático dadisciplina ?Eletrônica Aplicada I?;;CRISP, J. Introduction to MicroprocessorsMicrocontrollers, Ed. Newnes Elsevier, 2ndEd.,2004. ISBN 0750659890,,IGOE, T., Making Things Talk: Practical Methods for Connecting Physical Objects, Make; 1stedition, 2007, ISBN-10: 0596510519,,BARRETT, S., Atmel AVR Microcontroller Primer: ProgrammingInterfacing SynthesisLectures on Digital CircuitsSystems, Morgan  Claypool Publishers; 1st edition, 2007,ISBN-10: 1598295411,,;;BARRETT, S. Microcontrollers Fundamentals for EngineersScientists, Morgan  ClaypoolPublishers, 2006, ISBN-10: 1598290584,,WOLF, W. Computers as Components: Principles of Embedded Computing System Design,Morgan Kaufmann, 2005; ISBN 0123694590,,
Análise de Sinais;;TE218;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Integral: linha, superfície, volume. Funções singulares. Sinais e sistemas contínuos ediscretos. Sistemas lineares e invariantes no tempo. Série de Fourier. Transformada deFourier. Filtragem através de sistemas lineares e invariantes no tempo. Transformada deLaplace. Transformada Z. Amostragem de sinais. Aplicações na Engenharia Elétrica.;;<nada>;;<nada>
Comunicação e Expressão para Engenheiros;;TE219;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Fundamentos da comunicação para conversação e apresentação em público. RedaçãoTécnica e Científica. Compreensão e análise crítica de textos. Elaboração de RelatóriosTécnicos, Pareceres Técnicos e Perícia Técnica. Normas da ABNT para publicações técnicase científicas. Técnicas para apresentações de projetos.;;<nada>;;<nada>
Dinâmica de Fenômenos Ondulatórios;;TE220;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Oscilações. Dinâmica do movimento harmônico simples; pêndulos, osciladores acoplados,oscilações harmônicas, oscilações amortecidas, oscilações forçadas. Ondas mecânicas.Movimento ondulatório: ondas em cordas, ondas estacionárias, ondas sonoras, ressonância,tubos e cavidades ressonantes, alto-falantes e microfones, batimento, efeito Doppler. Noçõesde escalas musicais. Noções de isolamento de vibrações mecânicas. Noções de isolamentoacústico.;;<nada>;;<nada>
Fenômenos de Transporte I;;TE221;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Mecânica dos Fluidos. Estática dos fluidos. Transferência de massa. Escoamento de fluidos.;;<nada>;;<nada>
Fenômenos de Transporte II;;TE222;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Temperatura; Primeira e Segunda Lei da Termodinâmica; Teoria cinética dos gases.Condução do Calor em Regime Estacionário. Condução do Calor em Regime Transitório.Convecção Forçada e Natural. Ventilação forçada. Trocadores de calor para dispositivoseletrônicos Dissipadores.;;<nada>;;<nada>
Introdução à Eletroquímica;;TE223;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Classificação periódica dos elementos. Íons. Reações eletroquímicas. Célulasgalvânicas e eletrolíticas. Pilhas. Corrosão. Proteção catódica. Aplicaçõesindustriais da eletroquímica.;;Ticianelli E.  Gonzalez E. Eletroquímica: Princípios e Aplicações.Editora Edusp. 20 edição, 2005.,,Atkins P.W. Physical Chemistry. New York. K.W.Freemancompany,90 edition. 2006.,,Bard A.J.  Faulker L.R. Electrochemical Methods ? Fundamentalsand Applications. Chichester, Wiley, 20 edition 2002.,,;;Newman J.  Thomas-Alyea K. E. Electrochemical Systems. Wiley-Interscience. 30 edition, 2004.,,Vetter J. K. Electrochemical Kinetics: Theoreticalexperimentalaspects. New York. Academic Press, 1967.,,
Mecânica dos Sólidos para Engenharia Elétrica;;TE224;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Equilíbrio de partículas e corpos rígidos. Sistemas de forças equivalentes.Tração e compressão. Cisalhamento. Esforços internos. Flexão.;;Hibbeler R. C. Estática: Mecânica para Engenharia. Editora PearsonPrentice Hall. 12a edição. São Paulo 2011.,,Hibbeler R. C. Resistência dos materiais. 7a edição. Prentice Hall, SãoPaulo. 2007.,,Roy R. Craig. Mecânica dos materiais. 2a edição. Editora LTC 2003,,;;Callister W. D.. Ciência e Engenharia dos Materiais. 7a edição. EditoraLTC 2008.,,Beer F. P. Johnston E. R. Resistência dos materiais. Editora Mc Graw-Hill do Brasil. São Paulo 1982.,,
